[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration blob -> org.hibernate.type.BlobType@5bda80bf
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@5bda80bf
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@51df223b
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration clob -> org.hibernate.type.ClobType@1849db1a
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@1849db1a
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration nclob -> org.hibernate.type.NClobType@1d71006f
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@1d71006f
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@3ebff828
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1e044120
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration serializable -> org.hibernate.type.SerializableType@7c22d4f
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration object -> org.hibernate.type.ObjectType@3af17be2
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3af17be2
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6e521c1e
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@224b4d61
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@5d5d9e5
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@303e3593
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@4ef27d66
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@362a019c
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@1d9bec4d
[2021-10-30 22:21:37] [ DEBUG] [BasicTypeRegistry:156] Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@5c48c0c0
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[2021-10-30 22:21:37] [ DEBUG] [DefaultIdentifierGeneratorFactory:81] Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[2021-10-30 22:21:37] [ WARN ] [pooling:72] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2021-10-30 22:21:37] [ INFO ] [pooling:115] HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost/empresa]
[2021-10-30 22:21:37] [ INFO ] [pooling:121] HHH10001001: Connection properties: {password=, user=root}
[2021-10-30 22:21:37] [ INFO ] [pooling:129] HHH10001003: Autocommit mode: false
[2021-10-30 22:21:37] [ DEBUG] [DriverManagerConnectionProviderImpl:384] Initializing Connection pool with 1 Connections
[2021-10-30 22:21:37] [ INFO ] [DriverManagerConnectionProviderImpl:249] HHH000115: Hibernate connection pool size: 1 (min=1)
[2021-10-30 22:21:37] [ DEBUG] [JdbcEnvironmentInitiator:72] Database ->
       name : MySQL
    version : 5.5.5-10.4.19-MariaDB
      major : 5
      minor : 5
[2021-10-30 22:21:37] [ DEBUG] [JdbcEnvironmentInitiator:83] Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.25 (Revision: 08be9e9b4cba6aa115f9b27b215887af40b159e0)
      major : 8
      minor : 0
[2021-10-30 22:21:37] [ DEBUG] [JdbcEnvironmentInitiator:389] JDBC version : 4.2
[2021-10-30 22:21:37] [ INFO ] [Dialect:172] HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2021-10-30 22:21:37] [ DEBUG] [IdentifierHelperBuilder:113] JDBC driver metadata reported database stores quoted identifiers in more than one case
[2021-10-30 22:21:37] [ DEBUG] [IdentifierHelperBuilder:187] IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[2021-10-30 22:21:37] [ DEBUG] [Namespace:51] Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[2021-10-30 22:21:37] [ DEBUG] [TypeConfiguration$Scope:152] Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@5d58c727] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@52a36910]
[2021-10-30 22:21:37] [ ERROR] [HibernateUtil:30] HibernateUtil.buildSessionFactory(): Initial SessionFactory creation failed.
org.hibernate.boot.registry.classloading.spi.ClassLoadingException: Unable to load class [java.DTO.Empleado]
	at org.hibernate.boot.registry.classloading.internal.ClassLoaderServiceImpl.classForName(ClassLoaderServiceImpl.java:133)
	at org.hibernate.boot.model.source.internal.annotations.AnnotationMetadataSourceProcessorImpl.<init>(AnnotationMetadataSourceProcessorImpl.java:109)
	at org.hibernate.boot.model.process.spi.MetadataBuildingProcess$1.<init>(MetadataBuildingProcess.java:155)
	at org.hibernate.boot.model.process.spi.MetadataBuildingProcess.complete(MetadataBuildingProcess.java:149)
	at org.hibernate.boot.model.process.spi.MetadataBuildingProcess.build(MetadataBuildingProcess.java:83)
	at org.hibernate.boot.internal.MetadataBuilderImpl.build(MetadataBuilderImpl.java:473)
	at org.hibernate.boot.internal.MetadataBuilderImpl.build(MetadataBuilderImpl.java:84)
	at utils.HibernateUtil.buildSessionFactory(HibernateUtil.java:25)
	at utils.HibernateUtil.<clinit>(HibernateUtil.java:16)
	at principal.DepartamentoCON.menu(DepartamentoCON.java:23)
	at principal.main.main(main.java:21)
Caused by: java.lang.ClassNotFoundException: Could not load requested class : java.DTO.Empleado
	at org.hibernate.boot.registry.classloading.internal.AggregatedClassLoader.findClass(AggregatedClassLoader.java:210)
	at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:586)
	at java.base/java.lang.ClassLoader.loadClass(ClassLoader.java:519)
	at java.base/java.lang.Class.forName0(Native Method)
	at java.base/java.lang.Class.forName(Class.java:466)
	at org.hibernate.boot.registry.classloading.internal.ClassLoaderServiceImpl.classForName(ClassLoaderServiceImpl.java:130)
	... 10 more
[2021-10-30 22:22:27] [ DEBUG] [logging:112] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2021-10-30 22:22:28] [ DEBUG] [IntegratorServiceImpl:46] Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-10-30 22:22:28] [ DEBUG] [IntegratorServiceImpl:46] Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-10-30 22:22:28] [ DEBUG] [IntegratorServiceImpl:46] Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-10-30 22:22:28] [ INFO ] [Version:46] HHH000412: Hibernate Core {5.4.10.Final}
[2021-10-30 22:22:28] [ DEBUG] [Environment:199] HHH000206: hibernate.properties not found
[2021-10-30 22:22:28] [ DEBUG] [LocalXmlResourceResolver:57] Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[2021-10-30 22:22:28] [ DEBUG] [LocalXmlResourceResolver:85] Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
